Currency Pair,Final Equity,Total Return (%),Equity Peak,Volatility (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Average Drawdown (%),Total Trades,Win Rate (%),Time in Market (%),Best Parameters
EUR/GBP,100000.0,0.0,100000.0,0.0,0.0,,0.0,,0,0.0,0.0,"{'rsi_length': 2, 'oversold': 10, 'overbought': 70, 'risk_percent': 0.02, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
GBP/EUR,100000.0,0.0,100000.0,0.0,0.0,,0.0,,0,0.0,0.0,"{'rsi_length': 10, 'oversold': 10, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
USD/CHF,99998.21873050401,-0.0017812694959866348,100455.487653676,6.70279284994611,0.02853587904952349,5.282562617159698e-06,-1.1699609324000826,-0.4141855829686372,5,20.0,71.08433734939759,"{'rsi_length': 5, 'oversold': 20, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
GBP/JPY,99981.8098632,-0.018190136799996252,102935.2998632,12.475282948685463,0.03596926675068276,3.6193133887239418e-06,-2.869268369475919,-0.5602482426411731,3,33.33333333333333,68.97590361445783,"{'rsi_length': 10, 'oversold': 30, 'overbought': 80, 'risk_percent': 0.02, 'stop_loss_percent': 0.02, 'take_profit_percent': 0.05}"
NZD/JPY,99965.51231219998,-0.03448768780002137,100853.82131219997,7.482971207858845,-0.04691758531611498,-5.2818269487957755e-06,-1.7076385768603597,-0.444709989057735,3,33.33333333333333,39.75903614457831,"{'rsi_length': 10, 'oversold': 30, 'overbought': 80, 'risk_percent': 0.03, 'stop_loss_percent': 0.03, 'take_profit_percent': 0.05}"
GBP/NZD,99962.92600667999,-0.037073993320009324,100134.61536668001,1.382818733458005,-0.48308071200559366,-2.1107633815129825e-05,-0.23776848707927067,-0.15168300369651538,1,0.0,2.4096385542168677,"{'rsi_length': 10, 'oversold': 20, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
USD/EUR,99921.94611248,-0.07805388751999999,100000.0,5.028838130758255,-0.25867055428433494,-4.453515155387865e-05,-0.9833421719800062,-0.4009354672359096,4,25.0,52.40963855421686,"{'rsi_length': 10, 'oversold': 20, 'overbought': 70, 'risk_percent': 0.02, 'stop_loss_percent': 0.02, 'take_profit_percent': 0.05}"
EUR/NZD,99671.27260631001,-0.3287273936899873,100343.65567833399,3.24081851933423,-1.8402734083448076,-0.00016093011946790423,-0.9958341403279558,-0.5633697215607295,4,25.0,17.16867469879518,"{'rsi_length': 5, 'oversold': 10, 'overbought': 70, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
CAD/EUR,99439.62200979999,-0.5603779902000097,100415.3045098,4.64647404443579,-2.186664282351385,-0.0003858558181366636,-1.3902029245589254,-0.836035392180947,1,0.0,94.87951807228916,"{'rsi_length': 10, 'oversold': 30, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
CHF/NZD,99414.06675202001,-0.5859332479799922,100144.09796714001,5.34605208677478,-1.98183940601768,-0.0002682192210541752,-1.9198795070987429,-0.7743206129967027,8,12.5,51.80722891566265,"{'rsi_length': 5, 'oversold': 20, 'overbought': 80, 'risk_percent': 0.02, 'stop_loss_percent': 0.02, 'take_profit_percent': 0.05}"
JPY/USD,99094.07757122202,-0.9059224287779798,100000.0,14.539771926293996,-1.0714704383389166,-0.00018396175465570764,-3.5846687787779774,-1.7068587938308395,3,0.0,59.93975903614458,"{'rsi_length': 5, 'oversold': 10, 'overbought': 90, 'risk_percent': 0.02, 'stop_loss_percent': 0.02, 'take_profit_percent': 0.05}"
USD/AUD,98992.340816958,-1.007659183041993,100393.61849614,6.906626670975885,-2.644888029273091,-0.00037116805945326545,-1.7981542215767532,-1.0486125547317628,3,0.0,51.50602409638554,"{'rsi_length': 10, 'oversold': 20, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
CHF/JPY,98898.1635466,-1.1018364533999994,100022.991067,3.956976434534546,-5.096312473802752,-0.0004955162615323268,-1.1245689699946437,-0.9848788912042306,2,0.0,21.385542168674696,"{'rsi_length': 10, 'oversold': 20, 'overbought': 80, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
CAD/NZD,98755.27303004,-1.24472696996,100315.82400168,3.702886926316544,-6.162068364092728,-0.0005820114520839726,-1.6908317192426137,-1.1069930092176434,3,0.0,31.626506024096386,"{'rsi_length': 5, 'oversold': 10, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
CAD/GBP,98378.78850464,-1.6212114953599959,100140.05690114,4.3765717595748574,-6.801930322121163,-0.0009780332288198885,-2.086307976959245,-1.2916057079879044,12,16.666666666666664,62.34939759036144,"{'rsi_length': 5, 'oversold': 20, 'overbought': 70, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
JPY/CAD,97763.78662071799,-2.2362133792820096,100607.61506008799,8.48671685801447,-4.826706301161383,-0.0004905143245827691,-2.8266532684146473,-2.117909313865932,2,0.0,31.92771084337349,"{'rsi_length': 10, 'oversold': 20, 'overbought': 90, 'risk_percent': 0.02, 'stop_loss_percent': 0.02, 'take_profit_percent': 0.05}"
JPY/AUD,97695.75283494998,-2.3042471650500227,100459.386351478,7.746613969674384,-5.459786115601227,-0.0006447705862863667,-2.750995817214008,-1.6566989619643508,4,0.0,34.93975903614458,"{'rsi_length': 5, 'oversold': 10, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
CAD/AUD,97514.57356012004,-2.485426439879957,100170.07942656,5.90668185062173,-7.755906032588631,-0.0013124286617341766,-2.6509970658322612,-1.4058512890521955,8,12.5,84.63855421686746,"{'rsi_length': 5, 'oversold': 20, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
CHF/AUD,97091.72473432998,-2.9082752656700177,100493.031709808,7.745137247435327,-6.923869559885541,-0.0011147389156211732,-3.9568332186976085,-2.5839849138854745,8,12.5,64.45783132530121,"{'rsi_length': 5, 'oversold': 20, 'overbought': 80, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
